"#","Registration No / Notification No","Product Name","Holder"
"1","MAL11035018NCZ","NATURE'S WAY Vitamin C 500mg Tablet?s","PharmaCare (Asia) Sdn Bhd"
"2","MAL12105077N","Bio-Selenium Plus","PHARMA NORD SDN. BHD."
"3","MAL12085018N","NUTRILITE bio C plus ALL DAY FORMULA TABLET.","AMWAY (MALAYSIA) SDN. BHD."
"4","MAL11105037NC","Kordel's Vitamin C 1000mg + Zinc Effervescent Tablets","CAMBERT(M) SDN BHD"
"5","MAL11115023NCR","BLACKMORES NUTRIMULTI MULTI + WHOLEFOOD NUTRIENTS TABLETS","BLACKMORES (MALAYSIA) SDN. BHD."
"6","MAL12045026NCZ","Vit C 100-UD","IDAMAN PHARMA SDN. BHD."
"7","MAL12065028N","HAKUBI WHITE C PLUS TABLET","DKSH MALAYSIA SDN BHD"
"8","MAL11125038NZ","VITASEN C 30 Chewable Tablet","WINWA MEDICAL SDN. BHD."
"9","MAL12095026N","Sante Effervescent Tablet","THE ZYFAS MEDICAL CO.,"
"10","MAL12055052NCR","BLACKMORES MULTI-ACTION + OMEGA CAPSULES","BLACKMORES (MALAYSIA) SDN. BHD."
"11","MAL12085012NZ","Cevion effervescent Vitamin C 1000 mg","THE ZYFAS MEDICAL CO.,"
"12","MAL13085068NC","Shaklee SUSTAINED RELEASE VITA-C PLUS","SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD."
"13","MAL12105059NZ","Vitamin C STELLA 1g Effervescent Tablet","STADPHARM SDN. BHD."
"14","MAL12095005NC","BIOS LIFE Bio-C","UNICITY IMPORTS MALAYSIA SDN. BHD."
"15","MAL12095028N","SHEEP PLACENTA + CoQ10   PLUS  ENTERIC-COATED SOFT GEL","MARKET  WORLDWIDE SDN.BHD"
"16","MAL12125001N","Live-well ProsZINC Plus Tablet","PAHANG PHARMACY SDN. BHD."
"17","MAL12115023N","GNC  Collagen Plus","ONI Global (Malaysia) Sdn Bhd"
"18","MAL12125003N","Flavettes Vitamin C with Buffer C Plus Bioflavonoids Tablet","Duopharma Marketing Sdn. Bhd."
