"#","Registration No / Notification No","Product Name","Holder"
"1","MAL15085003ARZ","Apo-Atorvastatin 20mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"2","MAL15085004AZ","Apo-Atorvastatin 40mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"3","MAL15085005AZ","Apo-Atorvastatin 80mg Tablet","PHARMAFORTE (MALAYSIA) SDN. BHD."
"4","MAL13055065ACZ","ATOCOR TABLET 10MG","THE ZYFAS MEDICAL CO.,"
"5","MAL13055057ACZ","ATOCOR TABLET 20MG","THE ZYFAS MEDICAL CO.,"
"6","MAL13055056ACZ","ATOCOR TABLET 40MG","THE ZYFAS MEDICAL CO.,"
"7","MAL17085045ACZ","Astatin 10mg tablets","APEX PHARMACY MARKETING SDN. BHD."
"8","MAL17085046ACZ","Astatin 80mg tablets","APEX PHARMACY MARKETING SDN. BHD."
"9","MAL17085047ACZ","Astatin 20mg Tablets","APEX PHARMACY MARKETING SDN. BHD."
"10","MAL17085048ACZ","Astatin 40mg Tablets","APEX PHARMACY MARKETING SDN. BHD."
"11","MAL17035025ACRZ","Atozet 10mg/10mg film-coated tablets","ORGANON MALAYSIA SDN. BHD."
"12","MAL17035022ACRZ","Atozet 10mg/20mg film-coated tablets","ORGANON MALAYSIA SDN. BHD."
"13","MAL17035021ACRZ","Atozet 10mg/40mg film-coated tablets","ORGANON MALAYSIA SDN. BHD."
"14","MAL17035026ACRZ","Atozet 10mg/80mg film-coated tablets","ORGANON MALAYSIA SDN. BHD."
"15","MAL20034210ARZ","LIPITOR  TABLET 10MG","VIATRIS SDN. BHD."
"16","MAL20034211ARZ","LIPITOR TABLET 20MG","VIATRIS SDN. BHD."
"17","MAL20034212ARZ","LIPITOR TABLET 40MG","VIATRIS SDN. BHD."
"18","MAL20040226ARZ","LIPITOR TABLET 80MG","VIATRIS SDN. BHD."
"19","MAL20061542ACRZ","CADUET FILM-COATED TABLET 5MG/10MG","VIATRIS SDN. BHD."
"20","MAL20061544ACRZ","CADUET FILM-COATED TABLET 5MG/40MG","VIATRIS SDN. BHD."
"21","MAL20061543ACRZ","CADUET FILM-COATED TABLET 5MG/20MG","VIATRIS SDN. BHD."
"22","MAL20061547ACRZ","CADUET FILM-COATED TABLET 10MG/20MG","VIATRIS SDN. BHD."
"23","MAL20061548ACRZ","CADUET FILM-COATED TABLET 10MG/40MG","VIATRIS SDN. BHD."
"24","MAL20061546ACRZ","CADUET FILM-COATED TABLET 10MG/10MG","VIATRIS SDN. BHD."
"25","MAL09072769AZ","Tulip® 40 mg Film-coated Tablet","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"26","MAL10070541AZ","Atorv 20 mg Film-coated tablet","AV MANUFACTURING SDN.BHD"
"27","MAL09062160AZ","Rotaqor 10mg Film Coated Tablets","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"28","MAL09062161AZ","Rotaqor 20mg Film Coated Tablets","NOVARTIS CORPORATION (MALAYSIA) SDN. BHD."
"29","MAL10110007ARZ","Zarator 40mg Film Coated Tablet","Pfizer Parke Davis Sdn Bhd"
"30","MAL10100165ARZ","Zarator 80mg Film Coated Tablet","Pfizer Parke Davis Sdn Bhd"
"31","MAL10100166ARZ","Zarator 10mg Film Coated Tablet","Pfizer Parke Davis Sdn Bhd"
"32","MAL10100167ARZ","Zarator 20mg Film Coated Tablet","Pfizer Parke Davis Sdn Bhd"
"33","MAL11030081AZ","Atoris Film-Coated Tablet 20 mg","PAHANG PHARMACY SDN. BHD."
"34","MAL11030082AZ","Atoris Film-Coated Tablet 40 mg","PAHANG PHARMACY SDN. BHD."
"35","MAL11060015AZ","STORVAS C 10mg Tablet","RANBAXY (MALAYSIA) SDN. BHD."
"36","MAL11060016AZ","STORVAS C 20mg Tablet","RANBAXY (MALAYSIA) SDN. BHD."
"37","MAL11060017AZ","STORVAS C 40mg Tablet","RANBAXY (MALAYSIA) SDN. BHD."
"38","MAL11060020AZ","STORVAS C 80mg Tablet","RANBAXY (MALAYSIA) SDN. BHD."
"39","MAL11030084AZ","Atoris Film-Coated Tablet 10 mg","PAHANG PHARMACY SDN. BHD."
"40","MAL12120002AZ","Hovid Lipiduce-20 Tablet","HOVID BERHAD"
"41","MAL12120003AZ","Hovid Lipiduce-10 Tablet","HOVID BERHAD"
"42","MAL20122216AEZ","HOVID ATORVASTATIN TABLET 10MG","HOVID BERHAD"
"43","MAL20122217AEZ","HOVID ATORVASTATIN TABLET 20MG","HOVID BERHAD"
"44","MAL06081187AZ","Atorvas Tablet 20mg","RANBAXY (MALAYSIA) SDN. BHD."
"45","MAL06081188AZ","ATORVAS TABLET 10 MG","RANBAXY (MALAYSIA) SDN. BHD."
"46","MAL06081189AZ","ATORVAS TABLET 40MG","RANBAXY (MALAYSIA) SDN. BHD."
"47","MAL17107043AEZ","hovid-Lipiduce Tablet 80mg","HOVID BERHAD"
"48","MAL19046004AZ","SYNERRV ATORVASTATIN 10 (ATORVASTATIN TABLETS 10MG)","SYNERRV SDN BHD"
"49","MAL19046003AZ","SYNERRV ATORVASTATIN 20 (ATORVASTATIN TABLETS 20MG)","SYNERRV SDN BHD"
"50","MAL19046002AZ","SYNERRV ATORVASTATIN 40 (ATORVASTATIN TABLETS 40MG)","SYNERRV SDN BHD"
"51","MAL19046005AZ","SYNERRV ATORVASTATIN 80 (ATORVASTATIN TABLETS 80MG)","SYNERRV SDN BHD"
"52","MAL20046120AZ","Crystorvas Tablet 40mg","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"53","MAL20046121AZ","Crystorvas Tablet 20mg","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"54","MAL21056004AZ","Triveram 10mg/5mg/5mg (atorvastatin/perindopril arginine/amlodipine) film-coated tablets","SERVIER MALAYSIA SDN BHD"
"55","MAL21056005AZ","Triveram 20mg/5mg/5mg (atorvastatin/perindopril arginine/amlodipine) film-coated tablets","SERVIER MALAYSIA SDN BHD"
"56","MAL21056006AZ","Triveram 20mg/10mg/5mg (atorvastatin/perindopril arginine/amlodipine) film-coated tablets","SERVIER MALAYSIA SDN BHD"
"57","MAL21056007AZ","Triveram 20mg/10mg/10mg (atorvastatin/perindopril arginine/amlodipine) film-coated tablets","SERVIER MALAYSIA SDN BHD"
"58","MAL21056008AZ","Triveram 40mg/10mg/10mg (atorvastatin/perindopril arginine/amlodipine) film-coated tablets","SERVIER MALAYSIA SDN BHD"
"59","MAL21106028AZ","ATOSTIN FILM COATED TABLET 80MG","Y.S.P. INDUSTRIES (M) SDN BHD"
"60","MAL21106029AZ","ATOSTIN FILM COATED TABLET 40MG","Y.S.P. INDUSTRIES (M) SDN BHD"
"61","MAL21106030AZ","ATOSTIN FILM COATED TABLET 20MG","Y.S.P. INDUSTRIES (M) SDN BHD"
"62","MAL23016012AZ","Atormac 10 (Atorvastatin Film Coated Tablet 10mg)","Macleods Pharmaceuticals Sdn. Bhd."
"63","MAL23016013AZ","Atormac 40 (Atorvastatin Film Coated Tablet 40mg)","Macleods Pharmaceuticals Sdn. Bhd."
