"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12065064AZ","Flucor Day PE Soft Gelatin Capsule","HOVID BERHAD"
"2","MAL14025007AZ","SETAMOL PLUS FILM-COATED TABLET","HOVID BERHAD"
"3","MAL14055161AZ","Flucor Night PE Soft Gelatin Capsule","HOVID BERHAD"
"4","MAL12025061X","Uphamol Menstrual Tablet 500/25mg","Duopharma Marketing Sdn. Bhd."
"5","MAL12035013X","Panadol Extra Caplet","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"6","MAL12115068XZ","PARACAP PARACETAMOL 500MG TABLET","Health Pharm Marketing Sdn Bhd"
"7","MAL12085090XZ","Red Chickens Brand Fever Mixture, Paracetamol, 120mg; 5ml","SANCHUAN MEDICAL SDN.BHD"
"8","MAL13065047AZ","IFIMOL IV Paracetamol Solution for Intravenous Infusion 10mg/ml","UNIMED SDN BHD"
"9","MAL13115130ACZ","Norgesic tablet","iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch"
"10","MAL12115053AZ","TRADOL TABLET","Noripharma Sdn. Bhd."
"11","MAL17025023AZ","Sinurin tablets","PRIME PHARMACEUTICAL SDN. BHD."
"12","MAL14055166XRZ","Panadol Caplet 500mg Optizorb Formulation","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"13","MAL14125153ARZ","Paracetamol Kabi 10mg/ml Solution for Infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"14","MAL16095032X","Panadol Extra Tablet Optizorb Formulation","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"15","MAL15125050ACZ","Maxigesic 500mg/150mg Film Coated Tablets","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"16","MAL17075008AZ","Bidol (Tramadol Hydrochloride 37.5mg and Paracetamol 325 mg tablets)","HEALOL PHARMACEUTICALS SDN. BHD."
"17","MAL14085010ACZ","Paracetamol-AFT Solution for Infusion 10mg/ml","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"18","MAL16015075AZ","Tamin Paracetamol Intravenous Infusion (10 mg/ml)","BioCare Pharmaceutical (M) Sdn. Bhd."
"19","MAL19041001AZ","Trabest 37.5mg/325mg Tablets","Generic Health Sdn. Bhd."
"20","MAL14125143ARSZ","Paracetamol Kabi 10mg/ml Solution for Infusion","FRESENIUS KABI MALAYSIA SDN. BHD"
"21","MAL14125076XC","Coxan-Xtra Effervescent Tablets","MILRIN PHARMACEUTICAL CO. (M) SDN BHD"
"22","MAL18016081XZ","Paracap Paracetamol 120mg/5ml Oral Suspension","Health Pharm Marketing Sdn Bhd"
"23","MAL16015045XCZ","ParaSustain Sustained Release Tablets 665mg","AFT PHARMACEUTICALS (SE ASIA) SDN BHD"
"24","MAL16025025X","hovid-Paracetamol Syrup 120mg/5ml (Sugar Free)","HOVID BERHAD"
"25","MAL15125042XZ","Avadol-Fast Tablet 500mg","AV MANUFACTURING SDN.BHD"
"26","MAL19011003XRSZ","Panadol Extend Caplet 665mg","GLAXOSMITHKLINE CONSUMER HEALTHCARE SDN. BHD."
"27","MAL15095032XZ","hovid-Paracetamol Suspension 250mg/5ml (Sugar Free)","HOVID BERHAD"
"28","MAL18056180AZ","DYCOSIC TABLET","DYNAPHARM (M) SDN BHD"
"29","MAL18046006AZ","Paracetamol B. Braun 10 mg/ ml Solution for IV Infusion","B.BRAUN MEDICAL INDUSTRIES SDN BHD"
"30","MAL17015015XCZ","UNIMOL PARACETAMOL TABLET 500MG","UNIMED SDN BHD"
"31","MAL16085035XZ","WINAMOL Paracetamol Film-Coated Tablet 500mg","KCK PHARMACEUTICAL INDUSTRIES SDN. BHD."
"32","MAL17085038XZ","BIOGESIC Paracetamol 500mg Tablet","UNAM PHARMACEUTICAL (M) SDN BHD"
"33","MAL16125044XZ","ActiMol Tablet 650mg","PHARMANIAGA MANUFACTURING BERHAD"
"34","MAL16095033X","ActiMol Menstrual Tablet","PHARMANIAGA MANUFACTURING BERHAD"
"35","MAL19912157XZ","FEPRIL TABLET 500MG","IDAMAN PHARMA MANUFACTURING SDN BHD"
"36","MAL19912158XZ","FEPRIL SYRUP 120MG/5ML","IDAMAN PHARMA MANUFACTURING SDN BHD"
"37","MAL19990615XZ","DYNAMOL 650 TABLET","DYNAPHARM (M) SDN BHD"
"38","MAL19992407XZ","MEDON 500 CAPSULE","WINWA MEDICAL SDN. BHD."
"39","MAL20033520XZ","Paracil Tablet 650mg","SM PHARMACEUTICALS SDN. BHD."
"40","MAL20033659XEZ","PANADOL 1G (HONG KONG)","STERLING DRUG (MALAYA) SDN. BHD."
"41","MAL20091946XEZ","CHILDREN`S PANADOL 3 + YEARS CHEWABLE TABLETS","STERLING DRUG (MALAYA) SDN. BHD."
"42","MAL20101995XEZ","PANADOL FILM-COATED TABLET (CAPSULE-SHAPED) 500 MG","STERLING DRUG (MALAYA) SDN. BHD."
"43","MAL19860357AZ","UPHAMOL FLU TABLET","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"44","MAL19871101AZ","ANAREX TABLET","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"45","MAL19871075AZ","UPHAMOL PLUS CODEINE TABLET","DUOPHARMA MANUFACTURING (BANGI) SDN BHD"
"46","MAL19871088AZ","ORPHENAMOL TABLET","PAHANG PHARMACY SDN. BHD."
"47","MAL19871077AZ","DICODONE TABLET","PAHANG PHARMACY SDN. BHD."
